"Country","Region","Happiness.Score","Happiness.Score.Standard.Error","Economy.GDP.per.Capita","Family","Health.Life.Expectancy","Freedom","Trust.Government.Corruption","Generosity","Dystopia.Residual","PISA.Performance.Mean.Mathematics","PISA.Performance.Mean.Reading","PISA.Performance.Mean.Science","Alcohol.Consumption.All.Types","Beer","Wine","Spirits","Other"
"Albania","Central and Eastern Europe",4.959,0.05013,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,413.157,405.2588,427.225,4.77,1.57,1.17,1.94,0.08
"Algeria","Middle East and Northern Africa",5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,359.6062,349.8593,375.7451,0.56,0.31,0.14,0.1,0
"Argentina","Latin America and Caribbean",6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,409.0333,425.3031,432.2262,8.42,3.36,3.38,0.81,0.87
"Australia","Australia and New Zealand",7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,493.8962,502.9006,509.9939,9.52,3.76,3.66,1.22,0.88
"Austria","Western Europe",7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,496.7423,484.8656,495.0375,11.4,6.1,3.6,1.7,
"Belgium","Western Europe",6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,506.9844,498.5242,501.9997,10.36,4.6,3.97,1.47,0.32
"Brazil","Latin America and Caribbean",6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,377.0695,407.3486,400.6821,6.97,4.45,0.25,2.24,0.03
"Bulgaria","Central and Eastern Europe",4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,441.1899,431.7175,445.772,11.3,4.22,1.96,4.99,0.13
"Canada","North America",7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,515.6474,526.6678,527.7047,8,3.7,2,2,0.3
"Chile","Latin America and Caribbean",6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,422.6714,458.5709,446.9561,7.89,2.85,2.61,2.43,0
"Colombia","Latin America and Caribbean",6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,389.6438,424.9052,415.7288,4.43,3.13,0.05,1.23,0.02
"Costa Rica","Latin America and Caribbean",7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,400.2534,427.4875,419.608,3.63,2.31,0.27,1.02,0.03
"Croatia","Central and Eastern Europe",5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,464.0401,486.8632,475.3912,9.89,4.5,3.68,1.34,0.36
"Cyprus","Western Europe",5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,437.1443,442.8443,432.5964,9.55,2.84,2.71,4,0
"Czech Republic","Central and Eastern Europe",6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,492.3254,487.2501,492.83,12.82,6.9,2.67,3.25,0
"Denmark","Western Europe",7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,511.0876,499.8146,501.9369,9.38,3.49,4.21,1.68,0
"Dominican Republic","Latin America and Caribbean",4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,327.702,357.7377,331.6388,6.14,3.49,0.24,2.34,0.07
"Estonia","Central and Eastern Europe",5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,519.5291,519.1429,534.1937,16.64,5.44,1.23,8.37,1.6
"Finland","Western Europe",7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,511.0769,526.4247,530.6612,8.51,4.13,1.75,1.84,0.79
"France","Western Europe",6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,492.9204,499.3061,494.9776,11.87,2.16,7.09,2.42,0.2
"Georgia","Central and Eastern Europe",4.297,0.04221,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,403.8332,401.2881,411.1315,7.44,1.37,3.1,2.97,0.01
"Germany","Western Europe",6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,505.9713,509.1041,509.1406,11.99,5.66,3.84,2.49,0
"Greece","Western Europe",4.857,0.05062,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,453.6299,467.0395,454.8288,6.64,2.04,3.08,1.44,0.08
"Hungary","Central and Eastern Europe",4.8,0.06107,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,476.8309,469.5233,476.7475,10.9,3.93,3.41,3.57,
"Iceland","Western Europe",7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,488.0332,481.5255,473.2301,7.66,4.26,2.15,1.25,
"Indonesia","Southeastern Asia",5.399,0.02596,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,386.1096,397.2595,403.0997,0.28,0.05,0.22,0.01,0
"Ireland","Western Europe",6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,503.722,520.8148,502.5751,10.93,5.14,3.06,1.97,0.77
"Israel","Middle East and Northern Africa",7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,469.6695,478.9606,466.5528,2.61,1.41,0.11,1.05,0.04
"Italy","Western Europe",5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,489.7287,484.758,480.5468,7.14,1.78,4.61,0.74,0
"Japan","Eastern Asia",5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,532.4399,515.9585,538.3948,6.86,1.25,0.38,2.74,2.49
"Jordan","Middle East and Northern Africa",5.192,0.04524,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,380.259,408.1022,408.6691,0.37,0.07,0.01,0.29,0.01
"Kazakhstan","Central and Eastern Europe",5.855,0.04114,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,459.816,427.141,456.4836,5.92,1.78,0.38,3.76,0
"Latvia","Central and Eastern Europe",5.098,0.0464,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,482.3051,487.7581,490.225,10.82,4.8,1.24,4.13,0.65
"Lebanon","Middle East and Northern Africa",4.839,0.04337,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,396.2497,346.549,386.4854,1.18,0.38,0.19,0.59,0.02
"Lithuania","Central and Eastern Europe",5.833,0.03843,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,478.3834,472.4066,475.4089,14.42,6.28,1.03,5.35,1.76
"Luxembourg","Western Europe",6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,485.7706,481.4391,482.8064,11.83,3.91,5.47,2.46,0
"Macedonia","Central and Eastern Europe",5.007,0.05376,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,371.3114,351.7415,383.6824,4.68,1.67,2.15,0.84,0.03
"Malaysia","Southeastern Asia",5.77,0.0433,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,446.1098,430.5782,442.9475,0.64,0.39,0.13,0.11,0.01
"Malta","Western Europe",6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,478.6448,446.6661,464.7819,7.75,2.96,2.21,2.16,0.42
"Mexico","Latin America and Caribbean",7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,408.0235,423.2765,415.7099,5.28,4.01,0.11,1.14,0.03
"Moldova","Central and Eastern Europe",5.889,0.03799,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,419.6635,416.2293,427.9978,9.39,1.52,5.25,2.43,0.19
"Montenegro","Central and Eastern Europe",5.192,0.05235,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,417.9341,426.8845,411.3136,6.41,0.69,2.76,2.83,0.13
"Netherlands","Western Europe",7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,512.2528,502.9591,508.5748,8.03,3.83,2.88,1.32,0
"New Zealand","Australia and New Zealand",7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,495.2233,509.2707,513.3035,8.87,3.35,2.97,2.53,0.03
"Norway","Western Europe",7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,501.7298,513.1912,498.4811,5.97,2.57,2.22,1.03,0.15
"Peru","Latin America and Caribbean",5.824,0.04615,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,386.5606,397.5414,396.6836,5.1,3.06,0.41,1.62,0
"Poland","Central and Eastern Europe",5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,504.4693,505.6971,501.4353,10.48,5.83,0.89,3.76,0
"Portugal","Western Europe",5.102,0.04802,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,491.627,498.1289,501.1001,10.54,2.69,6.54,0.82,0.48
"Qatar","Middle East and Northern Africa",6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,402.4007,401.8874,417.6112,1.26,0.33,0.13,0.79,0.01
"Republic of Korea","Eastern Asia",5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,524.1062,517.4367,515.8099,9.06,2.01,0.17,0.64,6.24
"Republic of Korea","Eastern Asia",5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,524.1062,517.4367,515.8099,3.35,0.09,0,3.26,0
"Russian Federation","Central and Eastern Europe",5.716,0.03135,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,494.06,494.6278,486.631,8.41,3.49,0.87,3.36,0.69
"Singapore","Southeastern Asia",6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,564.1897,535.1002,555.5747,1.8,1.25,0.27,0.25,0.03
"Slovakia","Central and Eastern Europe",5.995,0.04267,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,475.2301,452.5143,460.7749,10.78,3.44,2.61,4.27,0.47
"Slovenia","Central and Eastern Europe",5.848,0.04251,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,509.9196,505.2159,512.8636,11.49,5.73,4.9,0.86,0
"Spain","Western Europe",6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,485.8432,495.5764,492.7861,8.26,4.51,1.55,2.21,0
"Sweden","Western Europe",7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,493.9181,500.1556,493.4224,7.16,2.62,3.42,1.01,0.11
"Switzerland","Western Europe",7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,521.2506,492.1982,505.5058,9.62,3.17,4.58,1.76,0.12
"Thailand","Southeastern Asia",6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,415.4638,409.1301,421.3373,6.57,1.86,0.18,4.53,0
"Trinidad and Tobago","Latin America and Caribbean",6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,417.2434,427.2733,424.5905,6.87,3.73,0.25,2.77,0.13
"Tunisia","Middle East and Northern Africa",4.739,0.03589,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,366.818,361.0555,386.4034,1.42,1.04,0.33,0.05,0
"Turkey","Middle East and Northern Africa",5.332,0.03864,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,420.454,428.3351,425.4895,1.4,0.8,0.13,0.47,0
"United Arab Emirates","Middle East and Northern Africa",6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,427.4827,433.5423,436.7311,2.03,0.21,0.14,1.68,0.01
"United Kingdom","Western Europe",6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,492.4785,497.9719,509.2215,9.82,3.49,3.48,2.13,0.73
"United States","North America",7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,469.6285,496.9351,496.2424,8.78,4.13,1.59,3.07,
"Uruguay","Latin America and Caribbean",6.485,0.04539,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,417.9919,436.5721,435.363,9.03,3.18,3.94,1.91,0
"Vietnam","Southeastern Asia",5.36,0.03107,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,494.5183,486.7738,524.6445,2.92,2.67,0.02,0.23,0
